game,seed,winner,turns,simulations,attacker_depth,max_turns
1,10,DRAW,100,20,2,100
2,11,ATTACKER,32,20,2,100
3,12,DEFENDER,22,20,2,100
4,13,DEFENDER,11,20,2,100
5,14,DEFENDER,12,20,2,100
6,15,DEFENDER,14,20,2,100
7,16,DEFENDER,11,20,2,100
8,17,DRAW,100,20,2,100
9,18,DRAW,100,20,2,100
10,19,DEFENDER,8,20,2,100
11,20,DEFENDER,21,20,2,100
12,21,DEFENDER,16,20,2,100
13,22,DRAW,100,20,2,100
14,23,DEFENDER,14,20,2,100
15,24,DRAW,100,20,2,100
16,25,DRAW,100,20,2,100
17,26,ATTACKER,20,20,2,100
18,27,ATTACKER,36,20,2,100
19,28,DEFENDER,12,20,2,100
20,29,DEFENDER,13,20,2,100
21,30,DRAW,100,20,2,100
22,31,DEFENDER,11,20,2,100
23,32,DEFENDER,25,20,2,100
24,33,ATTACKER,18,20,2,100
25,34,DRAW,100,20,2,100
26,35,DRAW,100,20,2,100
27,36,ATTACKER,25,20,2,100
28,37,DRAW,100,20,2,100
29,38,DEFENDER,18,20,2,100
30,39,DEFENDER,10,20,2,100
31,40,DRAW,100,20,2,100
32,41,DRAW,100,20,2,100
33,42,DEFENDER,12,20,2,100
34,43,DRAW,100,20,2,100
35,44,DEFENDER,18,20,2,100
36,45,DEFENDER,12,20,2,100
37,46,ATTACKER,66,20,2,100
38,47,DEFENDER,22,20,2,100
39,48,DEFENDER,17,20,2,100
40,49,DEFENDER,12,20,2,100
41,50,ATTACKER,80,20,2,100
42,51,DRAW,100,20,2,100
43,52,DEFENDER,13,20,2,100
44,53,DRAW,100,20,2,100
45,54,DRAW,100,20,2,100
46,55,DRAW,100,20,2,100
47,56,DEFENDER,12,20,2,100
48,57,ATTACKER,25,20,2,100
49,58,DEFENDER,11,20,2,100
50,59,ATTACKER,56,20,2,100
51,60,DRAW,100,20,2,100
52,61,DEFENDER,9,20,2,100
53,62,DRAW,100,20,2,100
54,63,DEFENDER,24,20,2,100
55,64,DEFENDER,13,20,2,100
56,65,DEFENDER,12,20,2,100
57,66,DRAW,100,20,2,100
58,67,DEFENDER,5,20,2,100
59,68,DEFENDER,11,20,2,100
60,69,DEFENDER,13,20,2,100
61,70,DEFENDER,12,20,2,100
62,71,DEFENDER,15,20,2,100
63,72,DEFENDER,17,20,2,100
64,73,ATTACKER,57,20,2,100
65,74,DEFENDER,11,20,2,100
66,75,ATTACKER,75,20,2,100
67,76,DEFENDER,29,20,2,100
68,77,DEFENDER,30,20,2,100
69,78,DEFENDER,32,20,2,100
70,79,DEFENDER,7,20,2,100
71,80,DEFENDER,16,20,2,100
72,81,DEFENDER,15,20,2,100
73,82,DEFENDER,34,20,2,100
74,83,DEFENDER,10,20,2,100
75,84,ATTACKER,36,20,2,100
76,85,ATTACKER,25,20,2,100
77,86,DEFENDER,17,20,2,100
78,87,DEFENDER,7,20,2,100
79,88,DEFENDER,10,20,2,100
80,89,DEFENDER,18,20,2,100
81,90,DEFENDER,12,20,2,100
82,91,DRAW,100,20,2,100
83,92,ATTACKER,13,20,2,100
84,93,DEFENDER,15,20,2,100
85,94,DEFENDER,11,20,2,100
86,95,DEFENDER,15,20,2,100
87,96,DEFENDER,9,20,2,100
88,97,DEFENDER,21,20,2,100
89,98,DEFENDER,10,20,2,100
90,99,DEFENDER,9,20,2,100
91,100,DEFENDER,28,20,2,100
92,101,DEFENDER,7,20,2,100
93,102,DRAW,100,20,2,100
94,103,DEFENDER,8,20,2,100
95,104,DEFENDER,12,20,2,100
96,105,DEFENDER,13,20,2,100
97,106,DEFENDER,11,20,2,100
98,107,DEFENDER,10,20,2,100
99,108,DEFENDER,7,20,2,100
100,109,ATTACKER,16,20,2,100
101,110,DEFENDER,12,20,2,100
102,111,DEFENDER,15,20,2,100
103,112,DRAW,100,20,2,100
104,113,DRAW,100,20,2,100
105,114,DEFENDER,24,20,2,100
106,115,ATTACKER,12,20,2,100
107,116,ATTACKER,32,20,2,100
108,117,DEFENDER,13,20,2,100
109,118,DRAW,100,20,2,100
110,119,DEFENDER,7,20,2,100
111,120,DEFENDER,11,20,2,100
112,121,DRAW,100,20,2,100
113,122,ATTACKER,21,20,2,100
114,123,DEFENDER,7,20,2,100
115,124,DEFENDER,13,20,2,100
116,125,DRAW,100,20,2,100
117,126,DRAW,100,20,2,100
118,127,DEFENDER,8,20,2,100
119,128,DEFENDER,21,20,2,100
120,129,DRAW,100,20,2,100
